Authors,Venue,Year,Title,Category,Detailed,Further Tags,Key
" Esan Murugesupillai,  Bardia Mohabbati,  Dragan Gasevic",SPLC,2011,"A Preliminary Mapping Study of Approaches Bridging Software Product Lines and Service-Oriented Architectures","problem space, solution space","pl technique application","service-oriented pl",MMG:SPLC11
" Klaus Schmid,  Rick Rabiser,  Paul Gr&uuml;nbacher",VAMOS,2011,"A Comparison of Decision Modeling Approaches in Product Lines","problem space","representation","",SRG:VaMoS11
"David Benavides, Sergio Segura, Antonio Ruiz-Cortes",INFORMATION SYSTEMS,2010,"Automated Analysis of Feature Models 20 Years Later: A Literature Review","problem space","analysis","",BSRC10
" Vander Alves,  Nan Niu,  Carina Alves,  George Valenca",IST,2010,"Requirements Engineering for Software Product Lines: A Systematic Literature Review","solution space","","requirements",ANAV:IST10
" Liana Barachisio Lisboa,  Vinicius Cardoso Garcia,  Daniel Lucredio,  Eduardo Santana de Almeida,  Silvio Romero de Lemos Meira,  Renata Pontin de Mattos Fortes",IST,2010,"A Systematic Review of Domain Analysis Tools","problem space, solution space","tool support","",LGL+:IST10
" Rick Rabiser,  Paul Gr&uuml;nbacher,  Deepak Dhungana",IST,2010,"Requirements for Product Derivation Support: Results From a Systematic Literature Review and an Expert Survey","problem space, solution space","","",RGD:IST10
" Vanilson Arruda Buregio,  Silvio Romero de Lemos Meira,  Eduardo Santana de Almeida",SPLC,2010,"Characterizing Dynamic Software Product Lines-a Preliminary Mapping Study","problem space, solution space","pl technique application","dynamic spl",BDA:SPLC10
" Arnaud Hubaux,  Andreas Classen,  Marcilio Mendonca,  Patrick Heymans",VAMOS,2010,"A Preliminary Review on the Application of Feature Diagrams in Practice","problem space","representation","",HCMH:VaMoS10
" Mahvish Khurum,  Tony Gorschek",JSS,2009,"A Systematic Review of Domain Analysis Solutions for Product Lines","solution space","","requirements",KG:JSS09
" Lianping Chen,  Muhammad Ali Babar,  Nour Ali",SPLC,2009,"Variability Management in Software Product Lines: A Systematic Review","problem space, solution space","","",CAA:SPLC09
" Lianping Chen,  Muhammad Ali Babar,  Ciaran Cawley",EASE,2009,"A Status Report on the Evaluation of Variability Management Approaches","problem space, solution space","","",CBC:EASE09
" Beatriz Perez Lamancha,  Macario Polo Usaola,  Mario Piattini Velthius",ICSOFT,2009,"Software Product Line Testing-a Systematic Review","solution space","quality assurance","dynamic analysis",LUV:ICSOFT09b
" Yuri Morais Bezerra,  Thais Alves Burity Pereira,  Gledson Elias da Silveira",ITNG,2009,"A Systematic Review of Software Product Lines Applied to Mobile Middleware","problem space, solution space","pl technique application","",BPD:ITNG09
" Lianping Chen,  M Ali Babar",SPLC,2009,"A Survey of Scalability Aspects of Variability Modeling Approaches","problem space, solution space","","",CB:SPLC09
" Sonia Montagud,  Silvia Abrahao",SPLC,2009,"Gathering Current Knowledge About Quality Evaluation in Software Product Lines","solution space","quality assurance","",MA:SPLC09
"Leire Etxeberria, Goiuria Sagardui, Lorea Belategi",JBCS,2008,"Quality-Aware Software Product Line Engineering","solution space","quality assurance","",ESB08
